# Energy(eV) COHP
-1.134226122405442823e+02 0.000000000000000000e+00
-1.133726122405442851e+02 0.000000000000000000e+00
-1.133226122405442879e+02 0.000000000000000000e+00
-1.132726122405442908e+02 0.000000000000000000e+00
-1.132226122405442936e+02 0.000000000000000000e+00
-1.131726122405442965e+02 0.000000000000000000e+00
-1.131226122405442993e+02 0.000000000000000000e+00
-1.130726122405443022e+02 0.000000000000000000e+00
-1.130226122405443050e+02 0.000000000000000000e+00
-1.129726122405443078e+02 0.000000000000000000e+00
-1.129226122405443107e+02 0.000000000000000000e+00
-1.128726122405443135e+02 0.000000000000000000e+00
-1.128226122405443164e+02 0.000000000000000000e+00
-1.127726122405443192e+02 0.000000000000000000e+00
-1.127226122405443220e+02 0.000000000000000000e+00
-1.126726122405443249e+02 0.000000000000000000e+00
-1.126226122405443277e+02 0.000000000000000000e+00
-1.125726122405443306e+02 0.000000000000000000e+00
-1.125226122405443334e+02 0.000000000000000000e+00
-1.124726122405443363e+02 0.000000000000000000e+00
-1.124226122405443391e+02 0.000000000000000000e+00
-1.123726122405443419e+02 0.000000000000000000e+00
-1.123226122405443448e+02 0.000000000000000000e+00
-1.122726122405443476e+02 0.000000000000000000e+00
-1.122226122405443505e+02 0.000000000000000000e+00
-1.121726122405443533e+02 0.000000000000000000e+00
-1.121226122405443562e+02 0.000000000000000000e+00
-1.120726122405443590e+02 0.000000000000000000e+00
-1.120226122405443618e+02 0.000000000000000000e+00
-1.119726122405443647e+02 0.000000000000000000e+00
-1.119226122405443675e+02 0.000000000000000000e+00
-1.118726122405443704e+02 0.000000000000000000e+00
-1.118226122405443732e+02 0.000000000000000000e+00
-1.117726122405443760e+02 0.000000000000000000e+00
-1.117226122405443789e+02 0.000000000000000000e+00
-1.116726122405443817e+02 0.000000000000000000e+00
-1.116226122405443846e+02 0.000000000000000000e+00
-1.115726122405443874e+02 0.000000000000000000e+00
-1.115226122405443903e+02 0.000000000000000000e+00
-1.114726122405443931e+02 0.000000000000000000e+00
-1.114226122405443959e+02 0.000000000000000000e+00
-1.113726122405443988e+02 0.000000000000000000e+00
-1.113226122405444016e+02 0.000000000000000000e+00
-1.112726122405444045e+02 0.000000000000000000e+00
-1.112226122405444073e+02 0.000000000000000000e+00
-1.111726122405444102e+02 0.000000000000000000e+00
-1.111226122405444130e+02 0.000000000000000000e+00
-1.110726122405444158e+02 0.000000000000000000e+00
-1.110226122405444187e+02 0.000000000000000000e+00
-1.109726122405444215e+02 0.000000000000000000e+00
-1.109226122405444244e+02 0.000000000000000000e+00
-1.108726122405444272e+02 0.000000000000000000e+00
-1.108226122405444301e+02 0.000000000000000000e+00
-1.107726122405444329e+02 0.000000000000000000e+00
-1.107226122405444357e+02 -1.457493655231677305e-320
-1.106726122405444386e+02 -1.886948804962761931e-316
-1.106226122405444414e+02 -2.295316785473849342e-312
-1.105726122405444443e+02 -2.622900046487942824e-308
-1.105226122405444471e+02 -2.815642076458966476e-304
-1.104726122405444499e+02 -2.839420739924109689e-300
-1.104226122405444528e+02 -2.689915589179709981e-296
-1.103726122405444556e+02 -2.393889785786657600e-292
-1.103226122405444585e+02 -2.001364766966406388e-288
-1.102726122405444613e+02 -1.571827732311902054e-284
-1.102226122405444642e+02 -1.159685541963868663e-280
-1.101726122405444670e+02 -8.037706389892875519e-277
-1.101226122405444698e+02 -5.233360259779355889e-273
-1.100726122405444727e+02 -3.201000385043297189e-269
-1.100226122405444755e+02 -1.839278188122199775e-265
-1.099726122405444784e+02 -9.928090222680993697e-262
-1.099226122405444812e+02 -5.034317601548097360e-258
-1.098726122405444841e+02 -2.398126603841357509e-254
-1.098226122405444869e+02 -1.073149444140962141e-250
-1.097726122405444897e+02 -4.511333202733841103e-247
-1.097226122405444926e+02 -1.781583603758164834e-243
-1.096726122405444954e+02 -6.609431597465813482e-240
-1.096226122405444983e+02 -2.303449105007219904e-236
-1.095726122405445011e+02 -7.541361047702019825e-233
-1.095226122405445039e+02 -2.319409600573190010e-229
-1.094726122405445068e+02 -6.701341848042011066e-226
-1.094226122405445096e+02 -1.818874359114364840e-222
-1.093726122405445125e+02 -4.637674193246546933e-219
-1.093226122405445153e+02 -1.110847333937761082e-215
-1.092726122405445182e+02 -2.499568983187026007e-212
-1.092226122405445210e+02 -5.283631074594680217e-209
-1.091726122405445238e+02 -1.049195584853393837e-205
-1.091226122405445267e+02 -1.957208232198701450e-202
-1.090726122405445295e+02 -3.429842875268563491e-199
-1.090226122405445324e+02 -5.646353041202258964e-196
-1.089726122405445352e+02 -8.732094908252777983e-193
-1.089226122405445381e+02 -1.268602260395773952e-189
-1.088726122405445409e+02 -1.731366981925731358e-186
-1.088226122405445437e+02 -2.219777265947251116e-183
-1.087726122405445466e+02 -2.673537542259234062e-180
-1.087226122405445494e+02 -3.024961111033342718e-177
-1.086726122405445523e+02 -3.215214319098194593e-174
-1.086226122405445551e+02 -3.210381791746245843e-171
-1.085726122405445579e+02 -3.011341895159128001e-168
-1.085226122405445608e+02 -2.653506022069360237e-165
-1.084726122405445636e+02 -2.196527877906220542e-162
-1.084226122405445665e+02 -1.708087028892294743e-159
-1.083726122405445693e+02 -1.247785415840261021e-156
-1.083226122405445722e+02 -8.563010054937484757e-154
-1.082726122405445750e+02 -5.520388514231881964e-151
-1.082226122405445778e+02 -3.343254802384940510e-148
-1.081726122405445807e+02 -1.902067643146475044e-145
-1.081226122405445835e+02 -1.016574212274055836e-142
-1.080726122405445864e+02 -5.103978938308892205e-140
-1.080226122405445892e+02 -2.407328272371767517e-137
-1.079726122405445921e+02 -1.066641362767042245e-134
-1.079226122405445949e+02 -4.439746686360205937e-132
-1.078726122405445977e+02 -1.736019636825003821e-129
-1.078226122405446006e+02 -6.376872747723496843e-127
-1.077726122405446034e+02 -2.200480623731240466e-124
-1.077226122405446063e+02 -7.133193962636968169e-122
-1.076726122405446091e+02 -2.172237017101986946e-119
-1.076226122405446120e+02 -6.214226602036873166e-117
-1.075726122405446148e+02 -1.670027669129689287e-114
-1.075226122405446176e+02 -4.216158798747182298e-112
-1.074726122405446205e+02 -9.999239559438504557e-110
-1.074226122405446233e+02 -2.227787252865646385e-107
-1.073726122405446262e+02 -4.662696983705288641e-105
-1.073226122405446290e+02 -9.167637167363161213e-103
-1.072726122405446318e+02 -1.693301901803745851e-100
-1.072226122405446347e+02 -2.938110610610396901e-98
-1.071726122405446375e+02 -4.789152473286122735e-96
-1.071226122405446404e+02 -7.333410146788911215e-94
-1.070726122405446432e+02 -1.054897073450790032e-91
-1.070226122405446461e+02 -1.425512449158218277e-89
-1.069726122405446489e+02 -1.809625761023482255e-87
-1.069226122405446517e+02 -2.158059276599838025e-85
-1.068726122405446546e+02 -2.417657793856031074e-83
-1.068226122405446574e+02 -2.544386984121135535e-81
-1.067726122405446603e+02 -2.515523604451249448e-79
-1.067226122405446631e+02 -2.336310405038783444e-77
-1.066726122405446660e+02 -2.038401004970338936e-75
-1.066226122405446688e+02 -1.670727663939009569e-73
-1.065726122405446716e+02 -1.286407855622211355e-71
-1.065226122405446745e+02 -9.304835701681125999e-70
-1.064726122405446773e+02 -6.322600874906724547e-68
-1.064226122405446802e+02 -4.035895251748912820e-66
-1.063726122405446830e+02 -2.420143378341288887e-64
-1.063226122405446858e+02 -1.363325096501252991e-62
-1.062726122405446887e+02 -7.214644243356505614e-61
-1.062226122405446915e+02 -3.586638506279458840e-59
-1.061726122405446944e+02 -1.675010472998140373e-57
-1.061226122405446972e+02 -7.348601936014136540e-56
-1.060726122405447001e+02 -3.028651060420098225e-54
-1.060226122405447029e+02 -1.172603337824840893e-52
-1.059726122405447057e+02 -4.264915519826488758e-51
